,0
0,0.020617378875613213
1,0.015377534553408623
2,0.013778705149888992
3,0.012009689584374428
4,0.010447601787745953
5,0.009298601187765598
6,0.008554602041840553
7,0.00819607824087143
8,0.007413440849632025
9,0.00667670089751482
10,0.006606910843402147
11,0.006201810669153929
12,0.006109480280429125
13,0.006043218541890383
14,0.00597503362223506
15,0.005624393932521343
16,0.005504679400473833
17,0.005368235986679792
18,0.005187589209526777
19,0.00510129239410162
20,0.005086477845907211
21,0.005063049960881472
22,0.004838909953832626
23,0.004651465453207493
24,0.004643984604626894
25,0.004634050652384758
26,0.004629739560186863
27,0.00459305290132761
28,0.004586621653288603
29,0.004285950213670731
30,0.003964410629123449
31,0.00368241174146533
32,0.0036742340307682753
33,0.00333815673366189
34,0.0028515662997961044
35,0.002739380579441786
36,0.0027139971498399973
37,0.0027042743749916553
38,0.002683773171156645
39,0.0024412921629846096
40,0.002314172685146332
41,0.0022991462610661983
42,0.0023052338510751724
43,0.0019356150878593326
44,0.0016915601445361972
45,0.0014957167441025376
46,0.0014260142343118787
47,0.001224684645421803
48,0.0012022366281598806
49,0.001188410329632461
50,0.0011653474066406488
51,0.001078900066204369
52,0.0007033459260128438
53,0.0006182692013680935
54,0.0005978412227705121
55,0.0006040050648152828
56,0.0005892058834433556
57,0.0005748647963628173
58,0.0005595917464233935
59,0.0005687184748239815
60,0.0005570871289819479
61,0.0005470499745570123
62,0.0005355698522180319
63,0.0005342765944078565
64,0.0005402981187216938
65,0.000526977120898664
66,0.0005310705746524036
67,0.000494104519020766
68,0.0005144476890563965
69,0.0004993231850676239
70,0.0004906314425170422
71,0.0005123598384670913
72,0.0004766383208334446
73,0.0004857695894315839
74,0.0005032987101003528
75,0.00046347957686521113
76,0.0004661062848754227
77,0.0004645284789148718
78,0.00048626860370859504
79,0.00043801372521556914
80,0.000469397462438792
81,0.0004514684551395476
82,0.0004438106552697718
83,0.00046076069702394307
