,xt_x0,explainer,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,-351056692919001.25,kernel,31124265566026.195,-3840906210640.1875,-0.125,-9.888323760388667e+28,2.727600244884805e+28,-7.91988554196272e+26,-26388279066624.0,0.0,0.40704278687560114,0.33333333333333337,0.6914353818612851,1.5,-1.0,0.37,0.3,1.2
1,-290594664585412.9,kernel,273947458176213.3,769106462452.8005,0.001953125,-7.920693737757496e+28,7.364900405889225e+28,2.091073819232975e+26,1099511627776.0,0.02216301661751341,0.9668408660848014,0.8383838383838385,0.7455691588860882,1.5,-1.0,0.37,0.3,1.2
2,-314093319526072.44,kernel,13510836616963.861,-3342595134577.8867,-0.0625,-7.7987893592477385e+28,1.45746695742685e+28,-6.211966439457019e+26,8796093022208.0,0.032778935168955026,0.49323833583263427,0.6666666666666667,0.04381762895096469,1.5,-1.0,0.37,0.3,1.2
3,-268910963370456.94,kernel,252019206609553.38,1013656814157.4731,-0.03515625,-7.024497520468479e+28,6.466699246362718e+28,2.2915680429819904e+26,-4398046511104.0,0.04241153473044762,0.9550488567420237,0.4040404040404041,0.38827369830627695,1.5,-1.0,0.37,0.3,1.2
4,-237360373074688.53,kernel,-79224332076703.31,-3407785858293.832,-0.0625,-5.317122126353351e+28,-1.68831539805288e+28,-7.161369778562872e+26,17592186044416.0,0.07289240799841318,0.25001886452297417,0.797979797979798,0.5857088583715211,1.5,-1.0,0.37,0.3,1.2
5,-165526807676081.34,kernel,267468897978762.56,2138332852386.205,0.015625,-4.667275694682197e+28,5.119975826140643e+28,3.0192539177850673e+26,-1649267441664.0,0.08486501305003469,0.9486068163326032,0.23232323232323235,0.12979753826830298,1.5,-1.0,0.37,0.3,1.2
6,-212570695943003.66,kernel,-85116225553812.45,-3202282160877.3516,-0.125,-4.357541779695855e+28,-1.8598200362063514e+28,-6.291944288405957e+26,8796093022208.0,0.08854491450405244,0.2446451407183608,0.9090909090909092,0.8313138558321438,1.5,-1.0,0.37,0.3,1.2
7,-215337172435604.1,kernel,-83902953495039.0,-1649077727050.379,-0.125,-4.377817630132253e+28,-1.8483403588442958e+28,-5.412326980971651e+26,0.0,0.08854491450405244,0.2446451407183608,0.030303030303030304,0.16599555056101162,1.5,-1.0,0.37,0.3,1.2
8,-159874343922058.72,kernel,143681740448987.7,314503526324.2698,0.0,-3.798550690956714e+28,3.2594650672397026e+28,4.203030041070805e+25,-4398046511104.0,0.09207120967811955,0.730150443946345,0.5757575757575758,0.1724432023728384,1.5,-1.0,0.37,0.3,1.2
9,-161420768382862.1,kernel,-154292700015895.6,-3921978546234.754,-0.0625,-3.364456511475776e+28,-3.6239158374743744e+28,-7.330616189948054e+26,-35184372088832.0,0.10714144852586788,0.08895035281278107,0.26262626262626265,0.07983282779634904,1.5,-1.0,0.37,0.3,1.2
10,-202135591605709.72,kernel,-42649034113908.34,-2605967675648.7188,0.0625,-3.7413424927412937e+28,-5.409700712706351e+27,-4.3614274846797975e+26,-17592186044416.0,0.11552252212046221,0.4019151651942312,0.030303030303030304,0.6014385972139086,1.5,-1.0,0.37,0.3,1.2
11,-132788849395301.55,kernel,-176193784529773.4,-4086480832501.953,0.0,-2.7337651833944225e+28,-3.969464836348979e+28,-7.911536241306694e+26,-26388279066624.0,0.1272462922857508,0.06624792977408872,0.797979797979798,0.40472451924404784,1.5,-1.0,0.37,0.3,1.2
12,-115017709316385.52,kernel,-189854536940173.62,-3921405406195.824,0.0625,-2.1552812913944797e+28,-4.373658003676149e+28,-7.41156057700301e+26,8796093022208.0,0.13228018990502116,0.00917103614780046,0.6363636363636365,0.597921625701008,1.5,-1.0,0.37,0.3,1.2
13,-134490018556973.0,kernel,118167053374477.7,444865235748.5332,0.017578125,-3.1921715964149395e+28,2.651595028107941e+28,5.693974631058039e+25,-8796093022208.0,0.13824208360923318,0.7281035196620718,1.0,0.3536864724589577,1.5,-1.0,0.37,0.3,1.2
14,-153632771607428.22,kernel,-120679662801741.5,-2771227841138.211,0.03125,-2.6653411421592757e+28,-2.645448367093679e+28,-5.039441430212174e+26,8796093022208.0,0.1414079547401907,0.15736650074166758,0.4141414141414142,0.2411454428286035,1.5,-1.0,0.37,0.3,1.2
15,-132345945305212.0,kernel,115796350622586.0,671494735880.3042,-0.001953125,-3.1202638143199126e+28,2.5698528542601474e+28,1.5528366383823933e+26,1099511627776.0,0.14550278365418484,0.7271010243513787,0.22222222222222224,0.8360273227980843,1.5,-1.0,0.37,0.3,1.2
16,-205413587405091.03,kernel,-158221232634879.5,-3487172828950.035,0.0625,-4.799685395604183e+28,-4.37821379372722e+28,-8.326331568084929e+26,-17592186044416.0,0.1546144706045729,0.22984201963651618,0.9090909090909092,0.1733048155942351,1.5,-1.0,0.37,0.3,1.2
17,-73824280410349.17,kernel,57718406795415.875,227773668187.99023,-0.005859375,-1.5656766354171543e+28,1.021928472665445e+28,8.865569075768385e+25,-3298534883328.0,0.1747454073451808,0.5351199384522428,0.4444444444444445,0.85674152679085,1.5,-1.0,0.37,0.3,1.2
18,-115662139141172.53,kernel,98974351774605.56,809687419821.1838,-0.0078125,-2.8806749541118786e+28,2.3313165553912733e+28,1.4475805044664292e+26,0.0,0.18681389677594357,0.7342876780532647,0.9292929292929294,0.19598703728598194,1.5,-1.0,0.37,0.3,1.2
19,-69375223832290.27,kernel,58639877999574.97,-5142754114030.313,-0.021484375,-1.6277485240997981e+28,1.1376718009619772e+28,-4.480587053811984e+26,-3298534883328.0,0.20897248987406586,0.5800849064682212,0.020202020202020204,0.4601261645092759,1.5,-1.0,0.37,0.3,1.2
20,-55262549408540.33,kernel,38741579492230.92,642869969563.6761,-0.005859375,-1.339797698333193e+28,7.890055938282027e+27,1.5909510829049372e+26,-2199023255552.0,0.21135373174989408,0.47878167909964614,0.22222222222222224,0.04904158374573658,1.5,-1.0,0.37,0.3,1.2
21,-75029519377200.33,kernel,58491921978669.2,659497451785.141,-0.01171875,-1.8016148670769205e+28,1.2504888262088523e+28,1.6243447192126995e+26,2199023255552.0,0.21398415602716836,0.5839458378412739,0.06060606060606061,0.6918613100648981,1.5,-1.0,0.37,0.3,1.2
22,-75155892975586.5,kernel,58179986735080.125,1097806293759.6147,-0.00390625,-1.7995005382763401e+28,1.244308882126716e+28,2.0309062473683095e+26,0.0,0.24476809248438752,0.6374759011580645,0.36363636363636365,0.13023781654597405,1.5,-1.0,0.37,0.3,1.2
23,-75155892975586.33,kernel,58179986735080.305,1097806293760.1133,-0.009765625,-1.7995005382763401e+28,1.244308882126716e+28,2.0309062473683095e+26,0.0,0.24476809248438752,0.6374759011580645,0.9595959595959597,0.43452606290053547,1.5,-1.0,0.37,0.3,1.2
24,-88435414070034.64,kernel,187481933304660.78,3295630016477.2744,-0.03125,-3.0445981191004513e+28,3.44585693343623e+28,5.242612698652933e+26,-549755813888.0,0.2806848961935906,0.9718731137372006,0.13131313131313133,0.2686134133015058,1.5,-1.0,0.37,0.3,1.2
25,-52667670601360.93,kernel,110573612413485.0,3273199121765.255,0.015625,-2.1787939968118185e+28,2.027432420602726e+28,3.6452788029214145e+26,-1511828488192.0,0.29693205046690424,0.762659576457899,0.5757575757575758,0.575053798568306,1.5,-1.0,0.37,0.3,1.2
26,-56535658593844.24,kernel,156568783526675.0,3346671239180.6504,-0.03125,-2.4415746633408495e+28,2.859937496485569e+28,5.2668267077509074e+26,8246337208320.0,0.3305206351755837,0.808338868569831,0.686868686868687,0.4544282181674901,1.5,-1.0,0.37,0.3,1.2
27,-76503759024630.77,kernel,58703924618707.945,1921734459177.1516,0.005859375,-2.0925586133867086e+28,1.519687115734523e+28,3.798890397624506e+26,-4398046511104.0,0.33555829731492004,0.7500502965639757,0.29292929292929293,0.4081242200096115,1.5,-1.0,0.37,0.3,1.2
28,-37078287268845.13,kernel,-109433775276726.53,-423153334539.8379,0.03125,1.7108666032854015e+27,-1.9272644553339132e+28,6.298165199200163e+25,0.0,0.3437429854706132,0.21295282180507435,0.8181818181818182,0.8970621872391633,1.5,-1.0,0.37,0.3,1.2
29,-15829185130127.71,kernel,3975627998896.6724,-4024542815515.1514,-0.001953125,-4.600398103233253e+27,-1.0860346673245442e+26,-6.398243667937025e+26,-1099511627776.0,0.3459424787443984,0.5061835741908989,0.010101010101010102,0.6821690120659967,1.5,-1.0,0.37,0.3,1.2
