,x0,v0,t,rand,x0_xt_mean,v0_xt_mean,t_xt_mean,rand_xt_mean,x0_vt_mean,v0_vt_mean,t_vt_mean,rand_vt_mean,x0_xt_std,v0_xt_std,t_xt_std,rand_xt_std,x0_vt_std,v0_vt_std,t_vt_std,rand_vt_std
52277,0.6503075789328358,0.8966571386352487,0.7777777777777778,0.15817743791522548,0.4026519477112689,6.601962732542599,0.0810900645013431,0.0,0.5477466005934886,9.336773348185247,0.05527581320389042,0.0,0.15358921259565578,0.48402566936141445,0.04348419347154921,0.0,0.21919105380482196,0.6834124483326709,0.06659565477339947,0.0
52735,0.7664889806800659,0.26613340294925153,0.3535353535353536,0.9957454381711723,1.988621013299454,-2.051143017792595,0.016022532039257995,0.0,2.7412097576531482,-2.958925121404204,-0.2521181800309746,0.0,0.3047037279838203,0.5545416951470602,0.04015888077570044,0.0,0.42535550808371436,0.7791401061273132,0.060148044481426674,0.0
53474,0.21162711426008524,0.5919363469662462,0.7474747474747475,0.10932673529101555,-1.4022022220587562,1.3578998715028106,-0.08161970678331235,0.0,-1.9199887729006966,2.026543598300637,0.2360873697968821,0.0,0.26832566926762697,0.4746124155875073,0.038864873837892146,0.0,0.3673989284946908,0.673310264360135,0.054505326148354724,0.0
53637,0.4478854677406207,0.6779161149397486,0.37373737373737376,0.08657557272033811,-1.2396737012977648,1.0412299504943126,-0.1598593827440595,0.0,-1.6655995805089392,1.5601678278867928,0.1847645258267937,0.0,0.23333039289089774,0.5155258978911669,0.0467400782159867,0.0,0.3199015409870669,0.7218025352216539,0.061829950122343574,0.0
57423,0.43476484169199786,0.2557656523542977,0.23232323232323235,0.9957403481352662,1.452013723060224,-1.3647754385710524,0.2218294641304591,0.0,2.022028614722275,-1.9325384181541958,0.08232764210861765,0.0,0.2772662416235558,0.47990836900714434,0.043958888225904394,0.0,0.385515197833992,0.6765053753802249,0.0584817736706589,0.0
58720,0.03892731461046889,0.5381110344579008,0.20202020202020204,0.8058752782020455,-1.8292532935396837,1.637128796310703,-0.09046459053057467,0.0,-2.575070116831396,2.3037313903787737,-0.17889219676077622,0.0,0.22994821734252638,0.43302113735771686,0.033852776533764506,0.0,0.3260737123793559,0.6135774251109427,0.05022934502237818,0.0
60824,0.2748673973009848,0.7113320996894993,0.24242424242424243,0.5120074621762434,-1.9077032253965973,1.8156736567899379,0.11979598016832795,0.0,-2.7413306108431525,2.448898732668365,-0.1594385679319784,0.0,0.24186922372528172,0.4653351172043305,0.04086820884740829,0.0,0.3476197844644556,0.6530140184658991,0.05568723355474601,0.0
63185,0.6714985482141103,0.7660979386031705,0.8585858585858587,0.772375026970644,1.956358834897994,4.982511769283618,0.0957402568335996,0.0,2.696490154841607,6.928801190437181,0.24511963654271868,0.0,0.2692925214952219,0.5364256088929225,0.05096434020004246,0.0,0.37739711832292566,0.7556581485033849,0.08339190193544901,0.0
65664,0.6655352129804308,0.8415825257527884,0.6464646464646465,0.785334474019679,0.9323637402093121,6.160473326028221,0.09443588253017969,0.0,1.2769331782775653,8.566832913590861,0.2293499736122489,0.0,0.2030974522174037,0.4965409266749841,0.05707644681755501,0.0,0.2867648812350594,0.6998684042567147,0.08537813185570518,0.0
67111,0.536318740224563,0.6979573728262645,0.11111111111111112,0.43451971686427543,-1.2962698922909497,0.8384557227275667,-0.2980781806114332,0.0,-1.616035051379157,1.5522612433357734,0.2585703964023139,0.0,0.24705901079699352,0.49776169506612133,0.04030928739388098,0.0,0.3339749216301831,0.696843019858424,0.053204091698775186,0.0
68657,0.857958115452466,0.2885102503427386,0.5757575757575758,0.2708218742619536,1.9511214365355831,-1.9750432103905566,-0.18972195258521637,0.0,2.7575822969581947,-2.690038869739682,-0.10995948594602478,0.0,0.24142652153736255,0.49626521295878473,0.03948762277872704,0.0,0.343686751630603,0.6925097109945448,0.04914406092253615,0.0
69254,0.14426625936565768,0.9769146088249037,0.5454545454545455,0.4972724096151038,-0.9082544891263303,7.840744453291776,0.16752306888369645,0.0,-1.267214491067782,11.03846271577043,0.2383299958302068,0.0,0.1850955825741719,0.5189297172008687,0.061782553758657655,0.0,0.26053547050143655,0.7343169609945086,0.0833238262821011,0.0
69486,0.36228031544775846,0.8591536182306823,0.8686868686868687,0.9023430724244704,-0.0012899485453610993,6.892221888069519,0.19340659350292086,0.0,0.026585768198163908,9.775009184600815,0.2113780029887684,0.0,0.17279690281242696,0.47995160676369525,0.06090214685404812,0.0,0.24267560893624285,0.6796944438688022,0.09306158595237658,0.0
69994,0.5141554415959086,0.8617451821578896,0.9494949494949496,0.021772742480327845,0.328985046072558,6.7453017834289515,0.03544080478944977,0.0,0.44537826104581896,9.355002664548753,0.18107206204714588,0.0,0.18884747687143108,0.4571982670645536,0.050676836990071424,0.0,0.26258891041648136,0.6456515555007185,0.08303182104433529,0.0
72012,0.9726829066411731,0.9030063476496623,0.12121212121212122,0.7780652713236907,1.263152173364498,5.612832902260571,0.10244358897305325,0.0,1.789393222527378,7.904559647743815,0.17388129602397545,0.0,0.19965039684235347,0.5243073842632523,0.049574695853670095,0.0,0.28102692101135357,0.740621922884295,0.08063263256159232,0.0
72252,0.21932756765443667,0.9348122123394557,0.5252525252525253,0.2280801345232641,-0.6799494328767033,7.753104032488623,0.05779137428805611,0.0,-0.9434819105485859,10.825981739271828,0.17300735905195339,0.0,0.15998679660995524,0.4408644315220896,0.060655939901799315,0.0,0.2240064939132164,0.6295743153211986,0.08490838648974963,0.0
74747,0.4131227041018174,0.9670355483039421,0.4747474747474748,0.43385949169390986,-0.12749574556007265,7.137242943248038,0.028010129829778352,0.0,-0.1913046523819276,9.90637999992946,0.15836716545572047,0.0,0.151232612120569,0.46064437330288843,0.05438403919366817,0.0,0.20920934016945,0.6519534894492138,0.07700768878178682,0.0
75943,0.21268787303656933,0.15602605009335535,0.43434343434343436,0.010931796404144767,-0.6597019944158145,-6.28051867982825,-0.09250343576446333,0.0,-0.9489262142771776,-8.926507267636728,-0.09052429893466614,0.0,0.1499046774486493,0.5165002950577866,0.053939627866487996,0.0,0.2135497074881504,0.7278377314679874,0.09689712151724332,0.0
81424,0.18772771891944035,0.42252089614942656,0.24242424242424243,0.4432713581320745,-0.4451147822886247,0.38585657091086,0.15840828457011324,0.0,-0.642469319888349,0.39100293624985993,-0.22056150486870466,0.0,0.2877884454969703,0.517368337928969,0.046209605278736084,0.0,0.3992176420014849,0.7271478641291743,0.06377338961748268,0.0
82641,0.24549905937008842,0.6313516350395874,0.4141414141414142,0.09118183784337258,-1.4416350289357418,1.3573805113529667,-0.14625776120953962,0.0,-2.010490615680861,1.9119265237239866,-0.16846154127182922,0.0,0.2529894747545482,0.426156295899535,0.03871914582188154,0.0,0.35430294408411905,0.6043532187305757,0.05434731480105057,0.0
83564,0.06995389571773225,0.5471176288222928,0.6464646464646465,0.7007630618352712,-1.758847509240529,1.737943951918376,0.04602578811501176,0.0,-2.431258278225087,2.538697890269407,0.2477948904010288,0.0,0.22142270863712074,0.4983200503392292,0.042186215702850687,0.0,0.30198135244778657,0.7042208751361726,0.057338994341987096,0.0
88360,0.1865354495231462,0.31946378474793025,0.6060606060606061,0.9130935402672165,-3.4684012965893816,-3.7854132089500205,0.009205283464761491,0.0,-4.7407538937598455,-5.238742827360255,-0.18634250738649752,0.0,0.26112929722844086,0.5003308968153869,0.06568573742178206,0.0,0.3648735152562899,0.7031379580300104,0.10926737570431753,0.0
92802,0.37134735986371903,0.6711554729841602,0.020202020202020204,0.659810871696324,-0.7999802319337089,1.3737512965952166,0.3329688136119984,0.0,-0.9214300528101264,1.3631581368156303,0.004895168398068822,0.0,0.17704628532402847,0.36295375316969936,0.1766686701117776,0.0,0.21333456446671903,0.4359752157570489,0.322237482497077,0.0
94420,0.5196799275722431,0.23588953909918725,0.20202020202020204,0.9766527973397734,1.656263531594859,-1.9246770945778904,-0.1865329189720932,0.0,2.3942217565091157,-2.5429981613815835,-0.1833562993728544,0.0,0.26903891021124265,0.462006131731903,0.04367917311106236,0.0,0.38572199356031406,0.6539166083904641,0.06549116411868826,0.0
98265,0.16473351308946033,0.2413065959751422,0.6565656565656566,0.6584026284192567,-2.8570283727577195,-4.321967734792964,0.025152983737778543,0.0,-3.976165339679489,-6.033969810658898,-0.1103293909216347,0.0,0.2948625262661029,0.4585907379289459,0.055701120150140844,0.0,0.4129706188287223,0.6420413157121206,0.09155871670806028,0.0
99147,0.9481607987899681,0.9644632494157002,0.4747474747474748,0.7441589946769405,1.1678313367798072,5.831874206850106,-0.007312200771030178,0.0,1.6534017273005244,8.156280603806358,0.09836939070113533,0.0,0.20686949153668857,0.5467167713728124,0.043711107142906276,0.0,0.28947186968743954,0.7702326641746566,0.06968133957400861,0.0
99401,0.28359611523197525,0.9938339789511075,0.010101010101010102,0.3624736252593571,-0.7254417200747215,4.42166458322829,-2.7707853754256218,0.0,-0.5241033560168131,5.746943550405661,-3.6577821208717336,0.0,0.11564541580026368,0.2951105550952192,0.19652047599424616,0.0,0.13320793432321495,0.38997679452837586,0.3014022219078821,0.0
