,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
10,-0.9906129910339145,-0.11436812972981025,-0.7107120316313682,0.0,0.0303466470297483,-0.04249888150729152,0.20549671452723678,0.0,0.08054880528747971,0.7120966016812147,0.5757575757575758,0.2875567170204779,-1.0,0.5,0.37,0.3,1.2
11,-0.46740357603903887,-0.6472882726228613,0.7121655206644724,0.0,0.015309849674133224,-0.012057046573332349,-0.006300827183071339,0.0,0.08140384676049117,0.09643290625363221,0.9191919191919192,0.8115953061380747,-1.0,0.5,0.37,0.3,1.2
12,-0.6596616279266682,-0.31918951244961263,0.2059349185155151,0.0,-0.031548924136680645,-0.03980020922706029,0.8076831089055384,0.0,0.08200929155820386,0.27250252403905983,0.9595959595959597,0.9824402278557876,-1.0,0.5,0.37,0.3,1.2
13,-0.7301931838062444,-0.35733623062451375,-0.03785644190089836,0.0,-0.13496231303671802,-0.06442963910771328,-0.570365549091368,0.0,0.09606556892566287,0.3120736041796868,0.08080808080808081,0.27827945697206113,-1.0,0.5,0.37,0.3,1.2
14,-0.43428850090935683,-0.4110061757405415,-0.246226846126882,0.0,-0.1990475159621182,-0.11153351461783453,-0.641325302621852,0.0,0.11680913177397856,0.19124797524483922,0.14141414141414144,0.7196990621856545,-1.0,0.5,0.37,0.3,1.2
15,-0.8822696354543194,-0.16891861597024174,-0.6706239120009214,0.0,-0.05933815559061449,-0.05001075990016167,-0.44403298185338824,0.0,0.11891073874266717,0.4320858462989725,0.6767676767676768,0.10468699737157128,-1.0,0.5,0.37,0.3,1.2
16,-0.9131600031642852,-0.01436320019009224,0.1087031666034735,0.0,0.008559188587904035,0.0009365335969837384,-0.7950399707812442,0.0,0.11936857724308453,0.6165092619386897,0.6666666666666667,0.9109458822581866,-1.0,0.5,0.37,0.3,1.2
17,-0.7044587882284763,-0.2932475840865319,0.25282162863503377,0.0,0.0015308247085697529,-0.010573181745705864,0.7187224280177191,0.0,0.13553327609019916,0.3529408708511122,0.27272727272727276,0.26635538119969193,-1.0,0.5,0.37,0.3,1.2
18,-0.9946264090291947,-0.4153637101712929,-0.3289512281127852,0.0,0.19129811768180127,-0.03841015642596782,0.27816756870163917,0.0,0.14108020643245173,0.7377106600989437,0.05050505050505051,0.24590142801974596,-1.0,0.5,0.37,0.3,1.2
19,-0.8181771696022078,0.04778397578579869,0.3605382944108233,0.0,-0.08218665332459303,-0.047126429901208876,0.6447879089672832,0.0,0.14687796035398393,0.5834316144385349,0.27272727272727276,0.6049315237468494,-1.0,0.5,0.37,0.3,1.2
