,xt_x0,xt_v0,xt_t,xt_rand,xt_energy,xt_alpha,xt_beta,xt_delta,xt_gamma,xt_omega,vt_x0,vt_v0,vt_t,vt_rand,vt_energy,vt_alpha,vt_beta,vt_delta,vt_gamma,vt_omega,x0,v0,t,rand,energy,alpha,beta,delta,gamma,omega,explainer
0,-0.3027012247526402,-0.32141842314540636,-0.6158476864048011,-0.9459231846639247,-0.9111430695341189,0.0,0.0,0.0,0.0,0.0,-0.9263225183521457,-0.7959351778551356,-0.9521473658896497,-0.17794497593710523,-0.25292278507670685,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.0,0.1710940189206902,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
1,-0.2071968664677783,-0.0031934331426029462,-0.5496973903924529,-0.29265574471822836,-0.7219083667353563,0.0,0.0,0.0,0.0,0.0,-0.38331210180014536,-0.3340163442929451,-0.509978727544599,-0.8975059853706169,-0.2820620441977564,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.010101010101010102,0.3687925115259644,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
2,-0.9532840264519977,-0.35849843602704196,-0.647361542377913,-0.9101864575592548,-0.4052292655127932,0.0,0.0,0.0,0.0,0.0,-0.524470158270052,-0.5924336199492124,-0.8610973975831723,-0.7506722628975404,-0.6043289975658239,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.020202020202020204,0.20730664382388353,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
3,-0.31053839809547806,0.008542507526468294,-0.47707221031578745,-0.02758002071551693,-0.07003605755076493,0.0,0.0,0.0,0.0,0.0,0.0205611246329577,0.01838390284729977,-0.46929623763322725,-0.11527387042570347,-0.31369680846908826,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.030303030303030304,0.4363110287884613,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
4,-0.005104968070421754,0.00782377664871859,-0.04336364370699085,-0.004799171533705186,-0.019577318145254038,0.0,0.0,0.0,0.0,0.0,0.02040181298275152,0.07465355387068692,-0.17573810268802284,-0.03874598463734809,0.021989780831685037,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.04040404040404041,0.7833445173335843,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
5,-0.15756741816419106,-0.0724099141726943,-0.3253949622804291,-0.2675064774852365,-0.11072435174116219,0.0,0.0,0.0,0.0,0.0,-0.2584997998549724,-0.171446707716514,-0.49687170822815535,-0.20335440662509485,-0.008191837513405967,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.05050505050505051,0.08096988156263302,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
6,-0.026706177315477503,-0.027179018664760468,-0.032456836874432286,0.028335904197634113,0.006688324927310378,0.0,0.0,0.0,0.0,0.0,-0.026545579288014834,0.020392472112572585,-0.14257928817239796,0.01621125530627881,-0.02087258450098666,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.06060606060606061,0.8316761197037801,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
7,-0.02823875927620127,0.00017012149426669717,-0.04288406782631662,0.04122427589290397,-0.0013016333296949286,0.0,0.0,0.0,0.0,0.0,0.12696594627736785,-0.16437323876572504,-0.27293967952235276,-0.06095694547283432,0.07781070709341557,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.07070707070707072,0.82072247762583,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
8,-0.10746106732144742,0.028349548694083213,-0.16843313046271738,0.05666935187827127,0.008724601498017612,0.0,0.0,0.0,0.0,0.0,0.013144672638698228,0.009390944802387868,-0.05599378387735483,-0.005821165853952302,-0.0010850208008072852,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.08080808080808081,0.6621936371276915,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
9,-0.02958684667494097,0.010770204624574163,-0.042689831692943554,0.04008446187930473,-0.01745150141818414,0.0,0.0,0.0,0.0,0.0,-0.020532081110139978,0.019010727164165395,-0.10208382776715853,-0.006322796142811443,0.013279237771574161,0.0,0.0,0.0,0.0,0.0,0.12510604964433308,0.785450755674368,0.09090909090909091,0.5326380496472963,0.5888654234227941,0.0,0.0,0.0,0.0,0.0,lime
