,xt_x0,explainer,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,-65302913085389.27,kernel,33259378308930.71,0.27734375,-0.01953125,-6.315099749303074e+27,3.267264651406798e+27,274877906944.0,-1649267441664.0,0.0,0.40704278687560114,0.33333333333333337,0.6914353818612851,0.7,-0.1,0.37,0.3,1.2
1,-159757049163265.25,kernel,126288816860383.53,1424697526422.7227,0.0078125,-1.5806335560939376e+28,1.2661151915283797e+28,9.734854775930444e+25,-2748779069440.0,0.02216301661751341,0.9668408660848014,0.8383838383838385,0.7455691588860882,0.7,-0.1,0.37,0.3,1.2
2,-60846679851588.016,kernel,28803145075129.44,0.18359375,-0.0078125,-5.79974553702684e+27,2.7519104391305626e+27,274877906944.0,-549755813888.0,0.032778935168955026,0.49323833583263427,0.6666666666666667,0.04381762895096469,0.7,-0.1,0.37,0.3,1.2
3,-148508395747116.66,kernel,115676077541293.78,788783429364.3984,-0.015625,-1.4063282904744288e+28,1.0973679863447973e+28,4.176794340004008e+25,-2748779069440.0,0.04241153473044762,0.9550488567420237,0.4040404040404041,0.38827369830627695,0.7,-0.1,0.37,0.3,1.2
4,-45740270327423.89,kernel,13696735550965.262,-0.20703125,0.0,-3.9203243342497277e+27,8.724892363534494e+26,549755813888.0,0.0,0.07289240799841318,0.25001886452297417,0.797979797979798,0.5857088583715211,0.7,-0.1,0.37,0.3,1.2
5,-132923072119151.05,kernel,100127649497925.64,751887844767.168,-0.0078125,-1.2117903474697736e+28,9.032117526269068e+27,3.795085053238998e+25,549755813888.0,0.08486501305003469,0.9486068163326032,0.23232323232323235,0.12979753826830298,0.7,-0.1,0.37,0.3,1.2
6,-40871711023749.32,kernel,8828176247290.73,0.02734375,-0.0078125,-3.478528462609532e+27,4.306933647132564e+26,-274877906944.0,-1649267441664.0,0.08854491450405244,0.2446451407183608,0.9090909090909092,0.8313138558321438,0.7,-0.1,0.37,0.3,1.2
7,-29740609010818.09,kernel,-4890665375297.983,2587739609656.215,0.00390625,-2.5146881233211127e+27,-5.600772096597185e+26,2.693023508455423e+25,-549755813888.0,0.08854491450405244,0.2446451407183608,0.030303030303030304,0.16599555056101162,0.7,-0.1,0.37,0.3,1.2
8,-60678388418302.67,kernel,28634853641844.062,-0.41015625,-0.00390625,-5.081199216964496e+27,2.0333641190682198e+27,549755813888.0,-1649267441664.0,0.09207120967811955,0.730150443946345,0.5757575757575758,0.1724432023728384,0.7,-0.1,0.37,0.3,1.2
9,-180407534472822.44,kernel,-208650829728154.56,-3606210398227.75,0.0,-1.4202237279457418e+28,-1.7645090726744264e+28,-2.9090396877076484e+26,-4398046511104.0,0.10714144852586788,0.08895035281278107,0.26262626262626265,0.07983282779634904,0.7,-0.1,0.37,0.3,1.2
10,-27536217786802.676,kernel,-4510935414536.812,3618424880.9609375,0.0,-2.2443554123255712e+27,-6.29710913925162e+26,-1.7376877164554388e+26,-549755813888.0,0.11552252212046221,0.4019151651942312,0.030303030303030304,0.6014385972139086,0.7,-0.1,0.37,0.3,1.2
11,-195811952663232.9,kernel,-240046857908385.4,-4399744360101.0,-0.0625,-1.745010216049203e+28,-2.2486860154006583e+28,-3.862901405334009e+26,0.0,0.1272462922857508,0.06624792977408872,0.797979797979798,0.40472451924404784,0.7,-0.1,0.37,0.3,1.2
12,-213754688130675.5,kernel,-297593207815057.9,-5145233429504.6875,-0.0625,-2.286967623692254e+28,-3.213162410409855e+28,-5.370438612608295e+26,-8796093022208.0,0.13228018990502116,0.00917103614780046,0.6363636363636365,0.597921625701008,0.7,-0.1,0.37,0.3,1.2
13,-51541591401980.555,kernel,19855886199891.94,-357829574370.41406,-0.0078125,-4.249308111331484e+27,1.218656972034036e+27,-1.7183958598829465e+25,-549755813888.0,0.13824208360923318,0.7281035196620718,1.0,0.3536864724589577,0.7,-0.1,0.37,0.3,1.2
14,-10361870925084.209,kernel,-21059140276723.766,-622523574650.9805,-0.00390625,-9.81071838608907e+26,-2.040741482468052e+27,-2.6021776819318746e+25,549755813888.0,0.1414079547401907,0.15736650074166758,0.4141414141414142,0.2411454428286035,0.7,-0.1,0.37,0.3,1.2
15,-45052049163219.08,kernel,13313690517101.672,-305176130341.16016,-0.00390625,-3.850582813559397e+27,8.152479204655916e+26,-1.2500204802471673e+25,-549755813888.0,0.14550278365418484,0.7271010243513787,0.22222222222222224,0.8360273227980843,0.7,-0.1,0.37,0.3,1.2
16,-24609376987011.633,kernel,-7434157789446.957,0.0234375,-0.00390625,-2.163488888031291e+27,-8.843462098649859e+26,-274877906944.0,-549755813888.0,0.1546144706045729,0.22984201963651618,0.9090909090909092,0.1733048155942351,0.7,-0.1,0.37,0.3,1.2
17,-24677007002177.25,kernel,-7366527774281.315,0.40234375,0.00390625,-2.120283446363114e+27,-9.275516515331631e+26,0.0,-549755813888.0,0.1747454073451808,0.5351199384522428,0.4444444444444445,0.85674152679085,0.7,-0.1,0.37,0.3,1.2
18,-39064406167362.06,kernel,7020871390903.473,0.27734375,-0.0078125,-3.5222778337361825e+27,4.7444273583990575e+26,-274877906944.0,-549755813888.0,0.18681389677594357,0.7342876780532647,0.9292929292929294,0.19598703728598194,0.7,-0.1,0.37,0.3,1.2
19,-13951734203207.994,kernel,-9045900286625.15,-9045900286625.078,0.0,-1.1984622638492862e+27,-9.246864170234954e+26,-9.246864170234954e+26,-549755813888.0,0.20897248987406586,0.5800849064682212,0.020202020202020204,0.4601261645092759,0.7,-0.1,0.37,0.3,1.2
20,-21256390586287.22,kernel,-10787144190171.367,0.06640625,-0.0078125,-1.8312189067875157e+27,-1.2166161911087613e+27,0.0,-549755813888.0,0.21135373174989408,0.47878167909964614,0.22222222222222224,0.04904158374573658,0.7,-0.1,0.37,0.3,1.2
21,-20774226346987.164,kernel,-11726389003279.648,457080573808.1094,0.0,-1.8003692218871985e+27,-1.275503802492058e+27,2.8037926482979525e+25,-549755813888.0,0.21398415602716836,0.5839458378412739,0.06060606060606061,0.6918613100648981,0.7,-0.1,0.37,0.3,1.2
22,-18201622354510.824,kernel,-13841912421947.79,-0.3984375,-0.00390625,-1.6302014398452537e+27,-1.4176336580510233e+27,-274877906944.0,-549755813888.0,0.24476809248438752,0.6374759011580645,0.36363636363636365,0.13023781654597405,0.7,-0.1,0.37,0.3,1.2
23,-18201622354510.824,kernel,-13841912421947.781,-0.0859375,-0.00390625,-1.6302014398452537e+27,-1.4176336580510233e+27,-274877906944.0,-549755813888.0,0.24476809248438752,0.6374759011580645,0.9595959595959597,0.43452606290053547,0.7,-0.1,0.37,0.3,1.2
24,-118407922388573.81,kernel,85042918882420.38,1321468729695.4219,-0.01171875,-1.1595440907230808e+28,8.457911995118647e+27,8.969381421588279e+25,549755813888.0,0.2806848961935906,0.9718731137372006,0.13131313131313133,0.2686134133015058,0.7,-0.1,0.37,0.3,1.2
25,-38604797281703.23,kernel,6561262505244.618,-0.4140625,0.0,-3.6874618069230506e+27,6.39626709026773e+26,-274877906944.0,549755813888.0,0.29693205046690424,0.762659576457899,0.5757575757575758,0.575053798568306,0.7,-0.1,0.37,0.3,1.2
26,-51397249519045.64,kernel,19353714742587.04,-0.40625,-0.00390625,-4.3583640255844744e+27,1.3105289276881968e+27,549755813888.0,-549755813888.0,0.3305206351755837,0.808338868569831,0.686868686868687,0.4544282181674901,0.7,-0.1,0.37,0.3,1.2
27,-36335820552664.09,kernel,4292285776205.506,0.31640625,0.00390625,-3.5685454170395804e+27,5.207103191433034e+26,0.0,-549755813888.0,0.33555829731492004,0.7500502965639757,0.29292929292929293,0.4081242200096115,0.7,-0.1,0.37,0.3,1.2
28,-8441282932532.348,kernel,-23602251843926.203,0.3984375,-0.015625,-1.1512949967400438e+27,-1.8965401011562335e+27,0.0,-549755813888.0,0.3437429854706132,0.21295282180507435,0.8181818181818182,0.8970621872391633,0.7,-0.1,0.37,0.3,1.2
29,-10681178258819.805,kernel,-10681178258819.492,-10681178258819.582,0.0,-1.0159450326320923e+27,-1.0159450326320923e+27,-1.0159450326320927e+27,-549755813888.0,0.3459424787443984,0.5061835741908989,0.010101010101010102,0.6821690120659967,0.7,-0.1,0.37,0.3,1.2
30,-88049014003707.55,kernel,55188327050927.78,817152176321.5195,-0.01953125,-8.398551687044796e+27,5.30549546419078e+27,4.522112495773883e+25,-549755813888.0,0.35793904784886305,0.9061781251071022,0.5454545454545455,0.2020748113519637,0.7,-0.1,0.37,0.3,1.2
31,-15115867330732.914,kernel,-16927667445725.664,0.10546875,-0.00390625,-1.4872025136114154e+27,-1.5606325842848622e+27,274877906944.0,-549755813888.0,0.38126837135689784,0.2627127063649389,0.6464646464646465,0.19894746207261105,0.7,-0.1,0.37,0.3,1.2
32,-16021767388229.254,kernel,-16021767388229.285,0.2578125,-0.00390625,-1.5239175489481382e+27,-1.5239175489481382e+27,-274877906944.0,-549755813888.0,0.38142586115765614,0.5062103165520707,0.12121212121212122,0.1315235115377249,0.7,-0.1,0.37,0.3,1.2
33,-28900711490789.207,kernel,-3142823285669.3193,0.4375,-0.01171875,-2.4351356937123668e+27,-6.126994041839105e+26,0.0,-549755813888.0,0.38520297324466446,0.7208232545082305,0.18181818181818182,0.6367202168286887,0.7,-0.1,0.37,0.3,1.2
34,-16021767388229.314,kernel,-16021767388229.299,-0.171875,0.0,-1.5239175489481382e+27,-1.5239175489481382e+27,-274877906944.0,-549755813888.0,0.38665906626903324,0.3063385247228618,0.32323232323232326,0.09481727278534102,0.7,-0.1,0.37,0.3,1.2
35,-117684005709771.08,kernel,84276313047046.47,1364157886265.8164,0.0,-1.1647414600621213e+28,8.505594014234347e+27,9.398548849058986e+25,-1649267441664.0,0.3926135503985839,0.973468138995933,0.7272727272727273,0.16850951799128794,0.7,-0.1,0.37,0.3,1.2
36,-16021767388229.305,kernel,-16021767388229.297,-0.08984375,-0.00390625,-1.5239175489481382e+27,-1.5239175489481382e+27,-274877906944.0,-549755813888.0,0.41406120986131617,0.395625191587076,0.9595959595959597,0.7626141168626728,0.7,-0.1,0.37,0.3,1.2
37,-38823874676857.7,kernel,27691233758792.586,-20910893858392.25,0.01171875,-3.612141392852765e+27,2.3812306921662893e+27,-1.8169243972098006e+27,-1649267441664.0,0.421153835534657,0.855965497375841,0.030303030303030304,0.3483234218856474,0.7,-0.1,0.37,0.3,1.2
38,-16021767388229.299,kernel,-16021767388229.307,-0.109375,-0.0078125,-1.5239175489481382e+27,-1.5239175489481382e+27,-274877906944.0,-549755813888.0,0.42351104046427107,0.28797811820671854,0.7474747474747475,0.48109569682878667,0.7,-0.1,0.37,0.3,1.2
39,-124370045168129.97,kernel,90726770578284.03,1599739813386.918,-0.015625,-1.221529466647298e+28,9.043190787080108e+27,1.2426878149659681e+26,-2199023255552.0,0.43132615284805265,0.9920235159496553,0.9494949494949496,0.05157209897970516,0.7,-0.1,0.37,0.3,1.2
40,-21969934498334.387,kernel,-10073600278124.215,0.046875,0.0,-1.789398184712015e+27,-1.2584369131842614e+27,-274877906944.0,-549755813888.0,0.43370417075678214,0.6823705191653632,0.22222222222222224,0.803976944725521,0.7,-0.1,0.37,0.3,1.2
41,-16919084524894.238,kernel,-15124450251564.371,-0.09375,0.0,-1.559939270056138e+27,-1.4878958278401397e+27,549755813888.0,-549755813888.0,0.4405736293600199,0.6606075086119791,0.98989898989899,0.2578193152188398,0.7,-0.1,0.37,0.3,1.2
42,-7288541683529.384,kernel,-24754993092929.23,-0.02734375,-0.00390625,-1.0903821313095117e+27,-1.9574529665867642e+27,-549755813888.0,-1099511627776.0,0.4573485295523873,0.20852051662770255,0.5656565656565657,0.4794150683254665,0.7,-0.1,0.37,0.3,1.2
43,-12552280863246.977,kernel,-19491253913211.625,-0.375,0.00390625,-1.3414746669815403e+27,-1.7063604309147359e+27,-549755813888.0,-1099511627776.0,0.45908587339086865,0.2385735725128295,0.6262626262626263,0.5251445341786275,0.7,-0.1,0.37,0.3,1.2
44,-100869114363685.55,kernel,68072664025325.38,752915561901.1328,0.0,-9.415961185402819e+27,6.329833546761631e+27,3.8292540744913437e+25,-2748779069440.0,0.4740961335785016,0.937796604034155,0.787878787878788,0.9804307583711793,0.7,-0.1,0.37,0.3,1.2
45,-4913712749159.527,kernel,-27129822027299.07,-0.0703125,-0.00390625,-7.975827122999402e+26,-2.2502523855963372e+27,274877906944.0,-549755813888.0,0.48437174979205305,0.20147521841022703,0.7777777777777778,0.3464222846707796,0.7,-0.1,0.37,0.3,1.2
46,-16021767388229.316,kernel,-16021767388229.297,-0.41796875,-0.00390625,-1.5239175489481382e+27,-1.5239175489481382e+27,-274877906944.0,-549755813888.0,0.48651568754720376,0.47433156410971433,1.0,0.30063353957292915,0.7,-0.1,0.37,0.3,1.2
47,-16021767388229.305,kernel,-16021767388229.281,0.19140625,-0.00390625,-1.5239175489481382e+27,-1.5239175489481382e+27,-274877906944.0,-549755813888.0,0.48874197114198903,0.554172938177695,0.17171717171717174,0.22428544314271553,0.7,-0.1,0.37,0.3,1.2
48,18966172888841.96,kernel,-50621276319498.016,-388431345802.84375,-0.00390625,1.5757184157296242e+27,-4.60330443584322e+27,-2.0249077782681513e+25,-549755813888.0,0.5080164574925925,0.10011444030389538,0.09090909090909091,0.32393026189818286,0.7,-0.1,0.37,0.3,1.2
49,-16021767388229.3,kernel,-16021767388229.3,-0.34765625,-0.0078125,-1.5239175489481382e+27,-1.5239175489481382e+27,-274877906944.0,-549755813888.0,0.5102832527344774,0.5004565786799989,0.20202020202020204,0.46135245228967536,0.7,-0.1,0.37,0.3,1.2
50,-39022892381026.44,kernel,6979357604567.848,-0.28125,-0.01953125,-3.537300392967389e+27,4.8946529507111205e+26,549755813888.0,-1099511627776.0,0.5257983708420308,0.7922908262542482,0.37373737373737376,0.9934120109809675,0.7,-0.1,0.37,0.3,1.2
