,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega,explainer
0,-23596982961599.5,13430818265020.828,1266293391969.7314,0.001953125,-2.0857309700040376e+27,1.1705185375088933e+27,8.593793992550054e+25,-274877906944.0,0.19868062590289348,0.7119513899644774,0.07070707070707072,0.09540420052626208,-0.1,-0.1,0.37,0.3,1.2,kernel
1,-15428997932173.48,6688588398992.326,-159461771422.64746,-0.001953125,-1.237864658934899e+27,3.965905162523095e+26,1.1999650112945663e+25,-137438953472.0,0.8995302078943164,0.7107432706182953,0.4040404040404041,0.3542710200958331,-0.1,-0.1,0.37,0.3,1.2,kernel
2,8658361827000.257,-16760165953552.102,-798067178065.6533,-0.001953125,6.990612183452978e+26,-1.4856006712501886e+27,-4.273503966475337e+25,137438953472.0,0.8650259436160623,0.24945573920442243,0.9494949494949496,0.9371328499953259,-0.1,-0.1,0.37,0.3,1.2,kernel
3,-14291829567621.297,6360894870092.791,-968936607075.2617,-0.001953125,-1.2832806973513437e+27,5.006597696189145e+26,-4.665356483721478e+25,0.0,0.39854823887698665,0.8637326440729247,0.13131313131313133,0.18491755281151911,-0.1,-0.1,0.37,0.3,1.2,kernel
4,40715930898251.9,49441156425922.11,5714336594004.469,0.015625,5.829416583971536e+26,9.207181770580672e+26,1.2262681002712904e+26,-549755813888.0,0.41804301370817454,0.5470168674541854,0.4545454545454546,0.6062144347993866,-0.1,-0.1,0.37,0.3,1.2,kernel
5,-10020327540082.203,1408343037504.046,-287886802025.66504,-0.00390625,-8.420573544659572e+26,1.5833246798394766e+25,-3.05038490208163e+24,0.0,0.8817915260658846,0.8394753974414186,0.06060606060606061,0.8432826229406616,-0.1,-0.1,0.37,0.3,1.2,kernel
6,-2307073563074.602,-5856603878412.039,-736193863130.79,0.0,-3.6454157126415e+26,-4.2435139011549126e+26,-4.038153119000275e+25,0.0,0.1774030360699519,0.3038025272160778,0.33333333333333337,0.9144677841464401,-0.1,-0.1,0.37,0.3,1.2,kernel
7,-2307073563074.602,-5856603878412.039,-736193863130.79,0.0,-3.6454157126415e+26,-4.2435139011549126e+26,-4.038153119000275e+25,0.0,0.1774030360699519,0.3038025272160778,0.686868686868687,0.7700102654203885,-0.1,-0.1,0.37,0.3,1.2,kernel
8,13801580169549.238,-21889423891225.04,-812027582941.6162,0.001953125,7.514860111197205e+26,-1.5365054532946493e+27,-4.425505039471537e+25,274877906944.0,0.632984389922161,0.052763072800039945,0.797979797979798,0.14484866303879623,-0.1,-0.1,0.37,0.3,1.2,kernel
9,-26218474448442.43,19306910626600.375,-1988307482761.709,-0.001953125,-2.040020501950554e+27,1.305803140963354e+27,-9.505713158244356e+25,-274877906944.0,0.5257983708420308,0.7922908262542482,0.05050505050505051,0.2634427967593872,-0.1,-0.1,0.37,0.3,1.2,kernel
