,xt_x0,xt_v0,xt_t,xt_rand,xt_energy,xt_alpha,xt_beta,xt_delta,xt_gamma,xt_omega,vt_x0,vt_v0,vt_t,vt_rand,vt_energy,vt_alpha,vt_beta,vt_delta,vt_gamma,vt_omega,x0,v0,t,rand,energy,alpha,beta,delta,gamma,omega,explainer
0,0.00016020198344079566,0.002091726888274867,-0.0032321093836306775,0.0021492599204942084,0.0017345282225267838,0.0,0.0,0.0,0.0,0.0,0.0007361984797721607,0.00021316632923555292,-0.0003842046743498941,0.00037959605988369837,1.4448009482865393e-05,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.0,0.6182047509620028,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
1,0.001188229626432627,0.0013150753515018773,-0.0032037398172637143,0.0007388517701545408,0.001173442695110137,0.0,0.0,0.0,0.0,0.0,0.0009647098178664137,0.0009946298190921141,-0.0016889091513851077,-0.000238865988142906,0.000605975424500002,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.010101010101010102,0.4347850157205327,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
2,0.0005315371978384564,3.396003887277303e-05,-0.0003680433611188773,0.0007042553900797487,0.000206746141667858,0.0,0.0,0.0,0.0,0.0,0.00012776396607762797,9.802381115607537e-05,-0.00015044949391063655,0.0001974436652141252,4.721112490636285e-05,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.020202020202020204,0.9625091563758827,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
3,0.0018450670048840276,0.0008457910502598685,-0.0017127109632839714,0.0017202406991271917,-0.00040817960831806497,0.0,0.0,0.0,0.0,0.0,0.00032375374449653455,0.0002988517669697552,-0.0005184731607002948,0.00021259270449534913,-0.0003144177618229423,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.030303030303030304,0.9538928639616909,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
4,0.0010183719886072487,0.0008083761156491972,-0.0014672355947624015,0.0010595168211640152,0.000937041839000862,0.0,0.0,0.0,0.0,0.0,0.00031309757909684613,-2.1721297769475927e-05,-0.00018336964139939956,0.00047566291654042544,0.0003764193895004216,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.04040404040404041,0.5815891165798217,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
5,0.000330874801354104,0.0006782684356424505,-0.0016850824800877752,-0.00023238773072671744,0.0001585930442277211,0.0,0.0,0.0,0.0,0.0,0.00021484868218961598,0.0003251340311685532,-0.0003270614623341466,-0.00031566445424084985,0.00019379206377708624,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.05050505050505051,0.4396002080514197,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
6,0.0023212123158576053,0.002733352213326555,-0.005305223817654171,0.0024710699563631226,0.002691312883350679,0.0,0.0,0.0,0.0,0.0,7.418011162906442e-05,7.376464799702829e-05,-0.000325973960795955,4.9157006660305585e-05,0.0001508133733777597,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.06060606060606061,0.7128539001173502,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
7,0.0003525731318743179,0.0004256825150021237,-0.0007620670815807651,0.00028322461503710225,8.98790159977666e-05,0.0,0.0,0.0,0.0,0.0,0.0008057190046647604,0.00017317838185930672,-0.0008018765699469706,-0.0006127898215080034,0.0007863344896673164,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.07070707070707072,0.6466027086591052,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
8,0.0014312421212432634,0.000884113284515717,-0.002652104401515556,0.0008102550028749204,0.0012168360054714104,0.0,0.0,0.0,0.0,0.0,4.4276539183937306e-05,0.00019668696361626307,-0.0002103682940542298,0.00015796361454596157,0.00017016026523786613,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.08080808080808081,0.8315247970862185,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
9,0.0014279017059370392,0.003173442250461623,-0.0003360964147638647,0.0029367080732320794,0.0012558048947298372,0.0,0.0,0.0,0.0,0.0,0.00039494486827087923,0.00036409159160917363,-0.0004796879584649415,0.00020605274131226816,-6.0816606983071325e-06,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.09090909090909091,0.6794837197425544,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
10,0.0008122533622272908,0.00011605943099860322,-0.0012288720840078118,0.0009175070628465812,0.00024999338361774624,0.0,0.0,0.0,0.0,0.0,0.0006304210948889411,0.0004813770667050995,-0.0015574362419938806,0.000996642506515117,0.0005960115915702489,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.10101010101010102,0.8045478993026958,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
11,0.00048358367277478943,0.0010212710908302186,-0.001962974107141831,0.000158194270691496,0.0006174470282875882,0.0,0.0,0.0,0.0,0.0,0.0008596988189044395,0.000856004381978127,-0.0016363816522292898,-0.0012011052468807988,0.0010445877105622644,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.11111111111111112,0.3098903972552478,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
12,0.0002947291354091878,0.00046197043081488634,-0.000470702236200828,-0.000113874471585525,-0.0003024100182105171,0.0,0.0,0.0,0.0,0.0,0.0004902609227388474,0.0008022064939337428,0.00020968541843814794,0.00011232556402931802,0.0006842239605830661,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.12121212121212122,0.2504175201302052,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
13,0.0011460046106028451,-0.0009944295634270455,-0.0016223287381952835,0.0009341706339578389,0.0006770796206317468,0.0,0.0,0.0,0.0,0.0,0.00018397729818571954,0.0006088015992309782,-0.0004133705109459666,0.0003589559574038776,0.0003759627743186733,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.13131313131313133,0.6830829743755062,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
14,0.003667782110992562,0.003353326009226939,-0.004353376610817937,-0.008805685638626763,0.00286478549964346,0.0,0.0,0.0,0.0,0.0,7.143247050571316e-05,0.00011575969649732334,-0.00012232963792457765,-0.0005404576253088688,0.0001656788135994439,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.14141414141414144,0.11475403036690224,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
15,0.0010206473975033254,0.0010045088919049142,0.00040125336600163705,0.001477384167805419,0.001248025603551838,0.0,0.0,0.0,0.0,0.0,0.0004926612768309774,0.00021719302506244568,-0.00014211558165915368,0.00048136563322495965,0.0002987596098807852,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.15151515151515152,0.8911344474473455,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
16,0.0001477352701030232,0.00036773414357702314,-0.0006091629169485748,0.0004428688948881055,1.8779297023245166e-05,0.0,0.0,0.0,0.0,0.0,0.0007179945582426382,0.0008537790071742172,-0.0017608690636084958,0.00042336117552324343,0.0008042484162156478,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.16161616161616163,0.6364668675232306,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
17,0.0009644938124021076,0.0007399520085257899,-0.0016046188395054063,0.0018362032850034243,-0.0007123321334848804,0.0,0.0,0.0,0.0,0.0,0.0006149095170246919,0.00045440954341108573,-0.00013853657904812114,0.0005243608956118119,0.0004899717674026804,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.17171717171717174,0.8646661320000815,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
18,0.0009918095054486,0.000791037755009237,-0.0004040418727903127,-0.0002080823107337414,0.0007609992825090689,0.0,0.0,0.0,0.0,0.0,0.00026386586382675834,0.00034691776561983785,-0.00022318745985760614,0.00022082992869945685,-0.0003842122036998748,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.18181818181818182,0.32837337448809645,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
19,0.0005729626178904407,0.0009195535080514338,0.001153570990334438,-0.002957062143619141,0.001104842007734348,0.0,0.0,0.0,0.0,0.0,0.001152375570508242,0.002164703760119364,-0.0038425315586366983,-0.003020561856245117,0.0013534758117747835,0.0,0.0,0.0,0.0,0.0,0.7340190289035178,0.7680431636884402,0.19191919191919193,0.022720219153046006,0.8403622447717431,0.0,0.0,0.0,0.0,0.0,lime
