,0,1,2,3,4
0,0.0,0.25,0.5,0.75,1.0
1,100.0,-1.0,-0.6,1.0662718756050436,0.7454366158373752
2,100.0,-1.0,-0.5878787878787879,1.0669916542038074,0.745161385633618
3,100.0,-1.0,-0.5757575757575757,1.0675800338406833,0.7449350363856815
4,100.0,-1.0,-0.5636363636363636,1.0680135855893589,0.7447674378407889
5,100.0,-1.0,-0.5515151515151515,1.0683016669732914,0.7446557521611644
6,100.0,-1.0,-0.5393939393939393,1.0684699005492373,0.7445903435366067
7,100.0,-1.0,-0.5272727272727272,1.0685494312808237,0.7445593840165375
8,100.0,-1.0,-0.5151515151515151,1.0685717262986063,0.7445506262895074
9,100.0,-1.0,-0.503030303030303,1.0685623240077482,0.744554368110576
10,100.0,-1.0,-0.4909090909090909,1.0685422744187039,0.7445620930824453
11,100.0,-1.0,-0.47878787878787876,1.0685245354877437,0.7445690070557731
12,100.0,-1.0,-0.4666666666666667,1.0685188040774258,0.7445712375104138
13,100.0,-1.0,-0.45454545454545453,1.068528305038787,0.7445675386257279
14,100.0,-1.0,-0.4424242424242424,1.0685496800859826,0.7445592109254222
15,100.0,-1.0,-0.4303030303030303,1.0685700195913903,0.744551366988553
16,100.0,-1.0,-0.41818181818181815,1.068561297467899,0.7445546894813574
17,100.0,-1.0,-0.406060606060606,1.0684738746761981,0.7445887130270641
18,100.0,-1.0,-0.3939393939393939,1.0682258741058352,0.7446851937314434
19,100.0,-1.0,-0.38181818181818183,1.0677049941863146,0.7448868895178508
20,100.0,-1.0,-0.36969696969696964,1.0668040570759614,0.7452334218108352
21,100.0,-1.0,-0.35757575757575755,1.0655412353017748,0.7457141666318178
22,100.0,-1.0,-0.34545454545454546,1.0642188152606389,0.746211083708594
23,100.0,-1.0,-0.3333333333333333,1.0633788740377585,0.7465235554640106
24,100.0,-1.0,-0.32121212121212117,1.0636667539992473,0.7464167363384446
25,100.0,-1.0,-0.3090909090909091,1.0665453057283047,0.7453323510748521
26,100.0,-1.0,-0.29696969696969694,1.06789220917543,0.7448144349441319
27,100.0,-1.0,-0.28484848484848485,1.067506703304123,0.7449634274452828
28,100.0,-1.0,-0.2727272727272727,1.061960032198461,0.7470457313365241
29,100.0,-1.0,-0.26060606060606056,0.07302249787215073,0.24772043199800475
30,100.0,-1.0,-0.24848484848484848,-0.30605764980637307,0.6223969517935931
31,100.0,-1.0,-0.23636363636363633,-0.6145183393795387,0.3325784938058646
32,100.0,-1.0,-0.22424242424242424,-1.0418505100570645,-0.2553596183236379
33,100.0,-1.0,-0.2121212121212121,-1.042425138584125,-0.25472544043111517
34,100.0,-1.0,-0.19999999999999996,-0.30366163361620396,0.6205674823015221
35,100.0,-1.0,-0.18787878787878787,1.1224539681291532,0.14631286831648518
36,100.0,-1.0,-0.17575757575757572,-1.0425274610515265,-0.25461149729111715
37,100.0,-1.0,-0.16363636363636364,-0.6152881260097917,0.3315212203363477
38,100.0,-1.0,-0.1515151515151515,-0.3085399697353158,0.6242298999067603
39,100.0,-1.0,-0.13939393939393935,-0.6152856216715992,0.3315244490048554
40,100.0,-1.0,-0.12727272727272726,1.0774163893014683,0.7409588362152558
41,100.0,-1.0,-0.11515151515151512,-0.3060136558737625,0.6223085470156643
42,100.0,-1.0,-0.10303030303030303,-0.3058549690581596,0.6222447446614097
43,100.0,-1.0,-0.09090909090909094,-0.8806052772600477,-0.33378548858559787
44,100.0,-1.0,-0.07878787878787874,-0.6147494343987452,0.33226562889945677
45,100.0,-1.0,-0.06666666666666665,-1.04289673106526,-0.2541984683167734
46,100.0,-1.0,-0.054545454545454564,1.3118311743874274,0.6102132537636356
47,100.0,-1.0,-0.042424242424242364,-0.614209993550968,0.33298733593111823
48,100.0,-1.0,-0.030303030303030276,1.1219101410939956,0.1504983773249869
49,100.0,-1.0,-0.018181818181818188,1.1214490516206568,0.15471354815300642
50,100.0,-1.0,-0.006060606060605989,-1.0430648264200677,-0.25400742651097463
51,100.0,-1.0,0.0060606060606061,1.0668694174848,0.7452083688805974
52,100.0,-1.0,0.018181818181818188,-0.30410937239813834,0.6209049920700352
53,100.0,-1.0,0.030303030303030276,-0.30399528581748625,0.6208261974749156
54,100.0,-1.0,0.042424242424242475,-0.3057250456159682,0.6221468164808474
55,100.0,-1.0,0.054545454545454564,-0.3056375614627853,0.6220808192081082
56,100.0,-1.0,0.06666666666666665,-0.3069276233307727,0.6230461986872847
57,100.0,-1.0,0.07878787878787885,1.1218374210313722,0.15111163097448996
58,100.0,-1.0,0.09090909090909094,1.065829058546364,0.7456049004300493
59,100.0,-1.0,0.10303030303030303,-1.0423076141757697,-0.25485589615873105
60,100.0,-1.0,0.11515151515151523,-0.6149335187038618,0.3320130644515335
61,100.0,-1.0,0.12727272727272732,1.0628527042111737,0.7467182275297976
62,100.0,-1.0,0.1393939393939394,1.0777020702165787,0.7408355901438218
63,100.0,-1.0,0.1515151515151515,-0.6154555826733854,0.3312858270304732
64,100.0,-1.0,0.1636363636363637,-0.6150627500350101,0.33183468663020493
65,100.0,-1.0,0.17575757575757578,-0.6155435419175368,0.3311617112431469
66,100.0,-1.0,0.18787878787878787,-0.614100598510131,0.3331348014395365
67,100.0,-1.0,0.20000000000000007,-1.0437286020816103,-0.25324327346788233
68,100.0,-1.0,0.21212121212121215,-1.0426223616420203,-0.2545055261067655
69,100.0,-1.0,0.22424242424242424,-1.042373433117409,-0.25478289345644467
70,100.0,-1.0,0.23636363636363633,-1.041173936645931,-0.2560948194241547
71,100.0,-1.0,0.24848484848484853,-1.0416565759809013,-0.2555715476465503
72,100.0,-1.0,0.2606060606060606,-1.042407174763968,-0.25474540335589435
73,100.0,-1.0,0.2727272727272727,-1.0422497287468744,-0.2549199288024479
74,100.0,-1.0,0.2848484848484849,-1.0419326784191891,-0.2552695141441139
75,100.0,-1.0,0.296969696969697,-1.0417578213255811,-0.2554610600230964
76,100.0,-1.0,0.3090909090909091,-1.0416888517360636,-0.2555363853469866
77,100.0,-1.0,0.3212121212121213,-1.041673928566917,-0.2555526632272867
78,100.0,-1.0,0.33333333333333337,-1.041687215508084,-0.2555382274091135
79,100.0,-1.0,0.34545454545454546,-1.0417151448250703,-0.2555077446953427
80,100.0,-1.0,0.35757575757575755,-1.0417494077392584,-0.25547031462785386
81,100.0,-1.0,0.36969696969696975,-1.0417822656818243,-0.2554343298950632
82,100.0,-1.0,0.38181818181818183,-1.0418089861460098,-0.255405093420514
