,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,0.636986832687443,0.5587181482040567,-0.08850628050829902,0.0,-0.008256133442406277,-0.017948549672561237,0.8275088068509308,0.0,0.01948285795820298,0.01283689179927644,0.797979797979798,0.4672431412703395,-1.0,0.5,0.37,0.3,1.2
1,0.8021174555806067,0.7955756247674375,0.2566325909479859,0.0,0.3006625904574227,0.27872731409631357,-0.5079137201442684,0.0,0.04628202026268047,0.7627001456120766,0.4545454545454546,0.7927717395720341,-1.0,0.5,0.37,0.3,1.2
2,-0.5815020697912469,-0.3380941333059983,0.2127671040631951,0.0,0.06663741573524118,-0.009766404775853426,0.6541464147281236,0.0,0.05039221103008884,0.24223047766388256,0.27272727272727276,0.3152765805292993,-1.0,0.5,0.37,0.3,1.2
3,-0.8478277182090205,-0.10851405127813979,0.03467650171520035,0.0,-0.05169066557040519,-0.21252817570378532,-0.5010341977287707,0.0,0.05277546108116504,0.6204142073283028,0.030303030303030304,0.3562298647413644,-1.0,0.5,0.37,0.3,1.2
4,-0.28968991793761983,-0.7622679461910915,0.4708552238154256,0.0,0.004212294424359278,-0.045540744973731825,-0.01802918246045274,0.0,0.05616372380924911,0.09928190342731641,0.12121212121212122,0.3929053131971314,-1.0,0.5,0.37,0.3,1.2
5,-0.6463017858442189,-0.28601361302414646,-0.2922512289865243,0.0,-0.07966757532896207,-0.05085690698182279,-0.8184151517520774,0.0,0.056766650868228796,0.3205344200011174,0.3535353535353536,0.8037154042217006,-1.0,0.5,0.37,0.3,1.2
6,-0.596983522179535,-0.2830173228158689,0.43613837658308,0.0,0.04973582160624152,0.027129480895073627,-0.5375710672337094,0.0,0.056766650868228796,0.3205344200011174,0.3434343434343435,0.7394444777089484,-1.0,0.5,0.37,0.3,1.2
7,-0.5804041464653357,-0.3161967185816563,0.6123002352810742,0.0,0.08785083094584498,-0.020909449208589115,0.026012480494009862,0.0,0.05817111463480795,0.2853337917035006,0.2828282828282829,0.11344340220176902,-1.0,0.5,0.37,0.3,1.2
8,0.5323750258268889,0.8621779638607169,0.6127116612117051,0.0,0.16198425314172687,0.17571766165369157,-0.1401279718588223,0.0,0.06987758099879088,0.9414706448415255,0.18181818181818182,0.27073200716719226,-1.0,0.5,0.37,0.3,1.2
9,-0.43876938876150223,-0.5923124472437303,-0.6232411544201976,0.0,0.11267784407372025,0.14444001117365055,-0.2755898805591013,0.0,0.07850977744927362,0.091793731062495,0.25252525252525254,0.5843518384109094,-1.0,0.5,0.37,0.3,1.2
